"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Geoduck and Horseclam,76D,2005,6,Total,2,45,*,,
Geoduck and Horseclam,76D,2005,14,1,1,40,*,,
Geoduck and Horseclam,76D,2005,14,4,1,24,*,,
Geoduck and Horseclam,76D,2005,14,5,1,73,*,,
Geoduck and Horseclam,76D,2005,14,11,3,4717,19544,,
Geoduck and Horseclam,76D,2005,14,13,1,76,*,,
Geoduck and Horseclam,76D,2005,14,Total,4,4930,20416,,
Geoduck and Horseclam,76D,2005,24,6,1,37,*,,
Geoduck and Horseclam,76D,2005,24,Total,1,37,*,,
Geoduck and Horseclam,76D,2005,106,2,2,225,*,,
Geoduck and Horseclam,76D,2005,106,Total,2,225,*,,
Geoduck and Horseclam,76D,2006,2,3,9,3006,15154,,
Geoduck and Horseclam,76D,2006,2,6,5,253,1002,,
Geoduck and Horseclam,76D,2006,2,7,5,197,1168,,
Geoduck and Horseclam,76D,2006,2,8,2,345,*,,
Geoduck and Horseclam,76D,2006,2,11,3,623,1131,,
Geoduck and Horseclam,76D,2006,2,12,2,125,*,,
Geoduck and Horseclam,76D,2006,2,13,1,85,*,,
Geoduck and Horseclam,76D,2006,2,14,4,997,2222,,
Geoduck and Horseclam,76D,2006,2,15,1,80,*,,
Geoduck and Horseclam,76D,2006,2,31,1,12,*,,
Geoduck and Horseclam,76D,2006,2,50,1,70,*,,
Geoduck and Horseclam,76D,2006,2,66,1,118,*,,
Geoduck and Horseclam,76D,2006,2,87,1,3,*,,
Geoduck and Horseclam,76D,2006,2,Total,12,5914,23468,,
Geoduck and Horseclam,76D,2006,13,15,1,31,*,,
Geoduck and Horseclam,76D,2006,13,16,1,6,*,,
Geoduck and Horseclam,76D,2006,13,Total,1,37,*,,
Geoduck and Horseclam,76D,2006,14,11,3,3544,16921,,
Geoduck and Horseclam,76D,2006,14,Total,3,3544,16921,,
Geoduck and Horseclam,76D,2006,15,2,1,120,*,,
Geoduck and Horseclam,76D,2006,15,Total,1,120,*,,
Geoduck and Horseclam,76D,2006,19,5,1,90,*,,
Geoduck and Horseclam,76D,2006,19,Total,1,90,*,,
Geoduck and Horseclam,76D,2007,7,3,1,0,*,,
Geoduck and Horseclam,76D,2007,7,18,1,0,*,,
Geoduck and Horseclam,76D,2007,7,24,1,0,*,,
Geoduck and Horseclam,76D,2007,7,25,1,249,*,,
Geoduck and Horseclam,76D,2007,7,27,1,110,*,,
Geoduck and Horseclam,76D,2007,7,Total,3,359,336,,
Geoduck and Horseclam,76D,2007,8,2,2,1039,*,,
Geoduck and Horseclam,76D,2007,8,Total,2,1039,*,,
Geoduck and Horseclam,76D,2007,12,11,1,35,*,,
Geoduck and Horseclam,76D,2007,12,Total,1,35,*,,
Geoduck and Horseclam,76D,2007,14,10,1,305,*,,
Geoduck and Horseclam,76D,2007,14,Total,1,305,*,,
Geoduck and Horseclam,76D,2007,16,2,1,0,*,,
Geoduck and Horseclam,76D,2007,16,19,2,130,*,,
Geoduck and Horseclam,76D,2007,16,21,2,0,*,,
Geoduck and Horseclam,76D,2007,16,Total,3,130,2549,,
Geoduck and Horseclam,76D,2007,17,5,1,220,*,,
Geoduck and Horseclam,76D,2007,17,Total,1,220,*,,
Geoduck and Horseclam,76D,2007,24,6,2,474,*,,
Geoduck and Horseclam,76D,2007,24,Total,2,474,*,,
Geoduck and Horseclam,76D,2008,6,9,1,0,*,,
Geoduck and Horseclam,76D,2008,6,Total,1,0,*,,
Geoduck and Horseclam,76D,2008,14,4,1,0,*,,
Geoduck and Horseclam,76D,2008,14,5,1,1818,*,,
Geoduck and Horseclam,76D,2008,14,8,1,0,*,,
Geoduck and Horseclam,76D,2008,14,11,1,1560,*,,
Geoduck and Horseclam,76D,2008,14,Total,1,3378,*,,
Geoduck and Horseclam,76D,2008,16,19,1,65,*,,
Geoduck and Horseclam,76D,2008,16,Total,1,65,*,,
Geoduck and Horseclam,76D,2009,2,3,4,0,8153,,
Geoduck and Horseclam,76D,2009,2,6,3,0,1155,,
Geoduck and Horseclam,76D,2009,2,7,4,0,1392,,
Geoduck and Horseclam,76D,2009,2,8,5,0,1353,,
Geoduck and Horseclam,76D,2009,2,9,3,0,251,,
Geoduck and Horseclam,76D,2009,2,11,3,0,2276,,
Geoduck and Horseclam,76D,2009,2,12,4,0,1342,,
Geoduck and Horseclam,76D,2009,2,13,2,0,*,,
Geoduck and Horseclam,76D,2009,2,14,4,76,1500,,
Geoduck and Horseclam,76D,2009,2,15,1,8,*,,
Geoduck and Horseclam,76D,2009,2,17,1,0,*,,
Geoduck and Horseclam,76D,2009,2,18,1,0,*,,
Geoduck and Horseclam,76D,2009,2,49,1,0,*,,
Geoduck and Horseclam,76D,2009,2,53,1,0,*,,
Geoduck and Horseclam,76D,2009,2,55,1,0,*,,
Geoduck and Horseclam,76D,2009,2,87,2,0,*,,
Geoduck and Horseclam,76D,2009,2,90,1,0,*,,
Geoduck and Horseclam,76D,2009,2,Total,10,84,19770,,
Geoduck and Horseclam,76D,2009,4,2,1,0,*,,
Geoduck and Horseclam,76D,2009,4,4,1,0,*,,
Geoduck and Horseclam,76D,2009,4,Total,2,0,*,,
Geoduck and Horseclam,76D,2009,14,7,1,0,*,,
Geoduck and Horseclam,76D,2009,14,11,2,3655,*,,
Geoduck and Horseclam,76D,2009,14,Total,2,3655,*,,
Geoduck and Horseclam,76D,2009,15,2,1,0,*,,
Geoduck and Horseclam,76D,2009,15,Total,1,0,*,,
Geoduck and Horseclam,76D,2009,16,2,1,0,*,,
Geoduck and Horseclam,76D,2009,16,Total,1,0,*,,
Geoduck and Horseclam,76D,2009,18,7,1,0,*,,
Geoduck and Horseclam,76D,2009,18,Total,1,0,*,,
Geoduck and Horseclam,76D,2010,6,11,1,21,*,,
Geoduck and Horseclam,76D,2010,6,14,1,5,*,,
Geoduck and Horseclam,76D,2010,6,15,1,5,*,,
Geoduck and Horseclam,76D,2010,6,16,1,5,*,,
Geoduck and Horseclam,76D,2010,6,18,2,78,*,,
Geoduck and Horseclam,76D,2010,6,19,1,6,*,,
Geoduck and Horseclam,76D,2010,6,Total,4,120,536,,
Geoduck and Horseclam,76D,2010,7,9,2,17,*,,
Geoduck and Horseclam,76D,2010,7,17,1,11,*,,
Geoduck and Horseclam,76D,2010,7,25,3,114,515,,
Geoduck and Horseclam,76D,2010,7,27,4,54,325,,
Geoduck and Horseclam,76D,2010,7,Total,5,196,979,,
Geoduck and Horseclam,76D,2010,8,2,1,24,*,,
Geoduck and Horseclam,76D,2010,8,Total,1,24,*,,
Geoduck and Horseclam,76D,2010,14,10,1,304,*,,
Geoduck and Horseclam,76D,2010,14,11,1,4234,*,,
Geoduck and Horseclam,76D,2010,14,15,1,75,*,,
Geoduck and Horseclam,76D,2010,14,Total,1,4613,*,,
Geoduck and Horseclam,76D,2010,15,2,1,28,*,,
Geoduck and Horseclam,76D,2010,15,3,1,10,*,,
Geoduck and Horseclam,76D,2010,15,Total,2,38,*,,
Geoduck and Horseclam,76D,2010,16,2,1,8,*,,
Geoduck and Horseclam,76D,2010,16,Total,1,8,*,,
Geoduck and Horseclam,76D,2010,17,6,1,8,*,,
Geoduck and Horseclam,76D,2010,17,8,1,44,*,,
Geoduck and Horseclam,76D,2010,17,16,1,56,*,,
Geoduck and Horseclam,76D,2010,17,Total,1,108,*,,
Geoduck and Horseclam,76D,2011,4,2,2,26,*,,
Geoduck and Horseclam,76D,2011,4,13,1,5,*,,
Geoduck and Horseclam,76D,2011,4,Total,2,31,*,,
Geoduck and Horseclam,76D,2011,5,10,1,5,*,,
Geoduck and Horseclam,76D,2011,5,17,1,4,*,,
Geoduck and Horseclam,76D,2011,5,Total,2,9,*,,
Geoduck and Horseclam,76D,2011,6,10,3,16,63,,
Geoduck and Horseclam,76D,2011,6,13,3,282,1535,,
Geoduck and Horseclam,76D,2011,6,Total,4,298,1598,,
Geoduck and Horseclam,76D,2011,14,1,3,241,1097,,
Geoduck and Horseclam,76D,2011,14,4,2,69,*,,
Geoduck and Horseclam,76D,2011,14,5,2,926,*,,
Geoduck and Horseclam,76D,2011,14,11,1,3530,*,,
Geoduck and Horseclam,76D,2011,14,13,1,214,*,,
Geoduck and Horseclam,76D,2011,14,Total,3,4980,25644,,
Geoduck and Horseclam,76D,2011,16,2,2,104,*,,
Geoduck and Horseclam,76D,2011,16,19,2,155,*,,
Geoduck and Horseclam,76D,2011,16,21,2,180,*,,
Geoduck and Horseclam,76D,2011,16,Total,3,439,2076,,
Geoduck and Horseclam,76D,2011,17,10,1,16,*,,
Geoduck and Horseclam,76D,2011,17,Total,1,16,*,,
Geoduck and Horseclam,76D,2011,106,2,2,142,*,,
Geoduck and Horseclam,76D,2011,106,Total,2,142,*,,
Geoduck and Horseclam,76D,2012,2,3,9,1859,10516,,
Geoduck and Horseclam,76D,2012,2,6,6,391,1912,,
Geoduck and Horseclam,76D,2012,2,7,7,373,1978,,
Geoduck and Horseclam,76D,2012,2,8,6,994,5831,,
Geoduck and Horseclam,76D,2012,2,9,2,19,*,,
Geoduck and Horseclam,76D,2012,2,11,7,449,2732,,
Geoduck and Horseclam,76D,2012,2,12,3,189,1256,,
Geoduck and Horseclam,76D,2012,2,14,2,196,*,,
Geoduck and Horseclam,76D,2012,2,15,2,11,*,,
Geoduck and Horseclam,76D,2012,2,17,1,4,*,,
Geoduck and Horseclam,76D,2012,2,49,3,54,272,,
Geoduck and Horseclam,76D,2012,2,50,3,65,314,,
Geoduck and Horseclam,76D,2012,2,52,1,37,*,,
Geoduck and Horseclam,76D,2012,2,53,2,126,*,,
Geoduck and Horseclam,76D,2012,2,55,2,35,*,,
Geoduck and Horseclam,76D,2012,2,58,1,11,*,,
Geoduck and Horseclam,76D,2012,2,65,1,7,*,,
Geoduck and Horseclam,76D,2012,2,66,1,15,*,,
Geoduck and Horseclam,76D,2012,2,87,1,22,*,,
Geoduck and Horseclam,76D,2012,2,Total,11,4857,27828,,
Geoduck and Horseclam,76D,2012,5,17,2,9,*,,
Geoduck and Horseclam,76D,2012,5,Total,2,9,*,,
Geoduck and Horseclam,76D,2012,6,9,2,14,*,,
Geoduck and Horseclam,76D,2012,6,Total,2,14,*,,
Geoduck and Horseclam,76D,2012,13,15,1,76,*,,
Geoduck and Horseclam,76D,2012,13,16,1,21,*,,
Geoduck and Horseclam,76D,2012,13,Total,1,97,*,,
Geoduck and Horseclam,76D,2012,14,11,2,409,*,,
Geoduck and Horseclam,76D,2012,14,Total,2,409,*,,
Geoduck and Horseclam,76D,2012,15,2,1,291,*,,
Geoduck and Horseclam,76D,2012,15,3,1,114,*,,
Geoduck and Horseclam,76D,2012,15,Total,1,405,*,,
Geoduck and Horseclam,76D,2012,17,18,1,24,*,,
Geoduck and Horseclam,76D,2012,17,Total,1,24,*,,
Geoduck and Horseclam,76D,2012,18,7,1,7,*,,
Geoduck and Horseclam,76D,2012,18,Total,1,7,*,,
Geoduck and Horseclam,76D,2012,19,5,1,18,*,,
Geoduck and Horseclam,76D,2012,19,Total,1,18,*,,
Geoduck and Horseclam,76D,2013,6,9,2,61,*,,
Geoduck and Horseclam,76D,2013,6,11,1,12,*,,
Geoduck and Horseclam,76D,2013,6,14,3,87,371,,
Geoduck and Horseclam,76D,2013,6,18,1,22,*,,
Geoduck and Horseclam,76D,2013,6,19,2,27,*,,
Geoduck and Horseclam,76D,2013,6,Total,3,209,939,,
Geoduck and Horseclam,76D,2013,7,4,1,5,*,,
Geoduck and Horseclam,76D,2013,7,9,1,21,*,,
Geoduck and Horseclam,76D,2013,7,12,1,5,*,,
Geoduck and Horseclam,76D,2013,7,18,1,34,*,,
Geoduck and Horseclam,76D,2013,7,25,2,74,*,,
Geoduck and Horseclam,76D,2013,7,27,1,14,*,,
Geoduck and Horseclam,76D,2013,7,Total,3,153,715,,
Geoduck and Horseclam,76D,2013,8,2,1,11,*,,
Geoduck and Horseclam,76D,2013,8,4,1,16,*,,
Geoduck and Horseclam,76D,2013,8,Total,1,27,*,,
Geoduck and Horseclam,76D,2013,14,10,1,222,*,,
Geoduck and Horseclam,76D,2013,14,11,1,3721,*,,
Geoduck and Horseclam,76D,2013,14,Total,1,3943,*,,
Geoduck and Horseclam,76D,2013,16,2,1,18,*,,
Geoduck and Horseclam,76D,2013,16,Total,1,18,*,,
Geoduck and Horseclam,76D,2013,17,16,1,39,*,,
Geoduck and Horseclam,76D,2013,17,18,1,3,*,,
Geoduck and Horseclam,76D,2013,17,Total,1,42,*,,
Geoduck and Horseclam,76D,2014,4,2,4,100,641,,
Geoduck and Horseclam,76D,2014,4,4,1,8,*,,
Geoduck and Horseclam,76D,2014,4,9,1,8,*,,
Geoduck and Horseclam,76D,2014,4,13,3,81,312,,
Geoduck and Horseclam,76D,2014,4,Total,4,197,993,,
Geoduck and Horseclam,76D,2014,5,12,1,17,*,,
Geoduck and Horseclam,76D,2014,5,20,1,8,*,,
Geoduck and Horseclam,76D,2014,5,Total,1,25,*,,
Geoduck and Horseclam,76D,2014,6,9,2,14,*,,
Geoduck and Horseclam,76D,2014,6,10,1,5,*,,
Geoduck and Horseclam,76D,2014,6,13,2,27,*,,
Geoduck and Horseclam,76D,2014,6,Total,3,46,272,,
Geoduck and Horseclam,76D,2014,8,4,1,6,*,,
Geoduck and Horseclam,76D,2014,8,Total,1,6,*,,
Geoduck and Horseclam,76D,2014,12,6,1,226,*,,
Geoduck and Horseclam,76D,2014,12,8,1,84,*,,
Geoduck and Horseclam,76D,2014,12,16,1,17,*,,
Geoduck and Horseclam,76D,2014,12,Total,1,327,*,,
Geoduck and Horseclam,76D,2014,14,1,1,34,*,,
Geoduck and Horseclam,76D,2014,14,4,1,66,*,,
Geoduck and Horseclam,76D,2014,14,5,1,16,*,,
Geoduck and Horseclam,76D,2014,14,10,1,59,*,,
Geoduck and Horseclam,76D,2014,14,11,1,3630,*,,
Geoduck and Horseclam,76D,2014,14,Total,1,3805,*,,
Geoduck and Horseclam,76D,2014,16,2,1,23,*,,
Geoduck and Horseclam,76D,2014,16,19,1,300,*,,
Geoduck and Horseclam,76D,2014,16,21,2,407,*,,
Geoduck and Horseclam,76D,2014,16,Total,2,730,*,,
Geoduck and Horseclam,76D,2014,106,2,1,84,*,,
Geoduck and Horseclam,76D,2014,106,Total,1,84,*,,
Geoduck and Horseclam,76D,2015,2,3,6,686,4319,,
Geoduck and Horseclam,76D,2015,2,6,5,129,701,,
Geoduck and Horseclam,76D,2015,2,7,7,293,1988,,
Geoduck and Horseclam,76D,2015,2,12,3,83,511,,
Geoduck and Horseclam,76D,2015,2,13,1,6,*,,
Geoduck and Horseclam,76D,2015,2,53,1,22,*,,
Geoduck and Horseclam,76D,2015,2,71,1,7,*,,
Geoduck and Horseclam,76D,2015,2,87,2,153,*,,
Geoduck and Horseclam,76D,2015,2,Total,9,1379,8740,,
Geoduck and Horseclam,76D,2015,4,1,1,7,*,,
Geoduck and Horseclam,76D,2015,4,Total,1,7,*,,
Geoduck and Horseclam,76D,2015,13,1,1,12,*,,
Geoduck and Horseclam,76D,2015,13,Total,1,12,*,,
Geoduck and Horseclam,76D,2015,14,5,1,115,*,,
Geoduck and Horseclam,76D,2015,14,11,2,4150,*,,
Geoduck and Horseclam,76D,2015,14,13,1,41,*,,
Geoduck and Horseclam,76D,2015,14,Total,2,4306,*,,
Geoduck and Horseclam,76D,2015,15,1,1,7,*,,
Geoduck and Horseclam,76D,2015,15,2,1,10,*,,
Geoduck and Horseclam,76D,2015,15,Total,1,17,*,,
Geoduck and Horseclam,76D,2015,16,1,1,8,*,,
Geoduck and Horseclam,76D,2015,16,2,1,19,*,,
Geoduck and Horseclam,76D,2015,16,Total,1,27,*,,
Geoduck and Horseclam,76D,2015,19,5,1,119,*,,
Geoduck and Horseclam,76D,2015,19,Total,1,119,*,,
Geoduck and Horseclam,76D,2016,4,1,1,28,*,,
Geoduck and Horseclam,76D,2016,4,Total,1,28,*,,
Geoduck and Horseclam,76D,2016,6,14,1,31,*,,
Geoduck and Horseclam,76D,2016,6,18,1,5,*,,
Geoduck and Horseclam,76D,2016,6,Total,2,36,*,,
Geoduck and Horseclam,76D,2016,14,10,1,67,*,,
Geoduck and Horseclam,76D,2016,14,11,1,1790,*,,
Geoduck and Horseclam,76D,2016,14,Total,1,1857,*,,
Geoduck and Horseclam,76D,2016,16,2,1,18,*,,
Geoduck and Horseclam,76D,2016,16,Total,1,18,*,,
Geoduck and Horseclam,76D,2016,19,5,1,19,*,,
Geoduck and Horseclam,76D,2016,19,Total,1,19,*,,
Geoduck and Horseclam,76D,2017,4,2,1,5,*,,
Geoduck and Horseclam,76D,2017,4,4,1,9,*,,
Geoduck and Horseclam,76D,2017,4,Total,1,14,*,,
Geoduck and Horseclam,76D,2017,5,12,1,16,*,,
Geoduck and Horseclam,76D,2017,5,Total,1,16,*,,
Geoduck and Horseclam,76D,2017,6,9,2,22,*,,
Geoduck and Horseclam,76D,2017,6,13,1,19,*,,
Geoduck and Horseclam,76D,2017,6,Total,2,41,*,,
Geoduck and Horseclam,76D,2017,12,16,1,5,*,,
Geoduck and Horseclam,76D,2017,12,Total,1,5,*,,
Geoduck and Horseclam,76D,2017,14,1,1,52,*,,
Geoduck and Horseclam,76D,2017,14,4,2,105,*,,
Geoduck and Horseclam,76D,2017,14,5,2,529,*,,
Geoduck and Horseclam,76D,2017,14,8,1,39,*,,
Geoduck and Horseclam,76D,2017,14,Total,3,725,2378,,
Geoduck and Horseclam,76D,2017,16,2,1,42,*,,
Geoduck and Horseclam,76D,2017,16,19,1,8,*,,
Geoduck and Horseclam,76D,2017,16,21,1,69,*,,
Geoduck and Horseclam,76D,2017,16,Total,1,119,*,,
Geoduck and Horseclam,76D,2017,19,5,1,25,*,,
Geoduck and Horseclam,76D,2017,19,Total,1,25,*,,
Geoduck and Horseclam,76D,2017,24,9,1,15,*,,
Geoduck and Horseclam,76D,2017,24,Total,1,15,*,,
Geoduck and Horseclam,76D,2018,2,8,2,245,*,,
Geoduck and Horseclam,76D,2018,2,9,1,23,*,,
Geoduck and Horseclam,76D,2018,2,11,1,95,*,,
Geoduck and Horseclam,76D,2018,2,14,3,193,1693,,
Geoduck and Horseclam,76D,2018,2,15,2,38,*,,
Geoduck and Horseclam,76D,2018,2,17,2,49,*,,
Geoduck and Horseclam,76D,2018,2,19,1,12,*,,
Geoduck and Horseclam,76D,2018,2,31,1,10,*,,
Geoduck and Horseclam,76D,2018,2,50,1,13,*,,
Geoduck and Horseclam,76D,2018,2,53,2,25,*,,
Geoduck and Horseclam,76D,2018,2,55,1,10,*,,
Geoduck and Horseclam,76D,2018,2,65,1,7,*,,
Geoduck and Horseclam,76D,2018,2,70,1,19,*,,
Geoduck and Horseclam,76D,2018,2,71,1,24,*,,
Geoduck and Horseclam,76D,2018,2,76,1,7,*,,
Geoduck and Horseclam,76D,2018,2,82,1,31,*,,
Geoduck and Horseclam,76D,2018,2,87,3,282,2181,,
Geoduck and Horseclam,76D,2018,2,Total,7,1083,7305,,
Geoduck and Horseclam,76D,2018,4,13,1,7,*,,
Geoduck and Horseclam,76D,2018,4,Total,1,7,*,,
Geoduck and Horseclam,76D,2018,13,13,1,14,*,,
Geoduck and Horseclam,76D,2018,13,16,1,26,*,,
Geoduck and Horseclam,76D,2018,13,Total,1,40,*,,
Geoduck and Horseclam,76D,2018,14,9,1,167,*,,
Geoduck and Horseclam,76D,2018,14,11,2,367,*,,
Geoduck and Horseclam,76D,2018,14,Total,2,534,*,,
Geoduck and Horseclam,76D,2018,15,1,1,21,*,,
Geoduck and Horseclam,76D,2018,15,2,2,67,*,,
Geoduck and Horseclam,76D,2018,15,Total,2,88,*,,
Geoduck and Horseclam,76D,2018,16,2,1,23,*,,
Geoduck and Horseclam,76D,2018,16,Total,1,23,*,,
Geoduck and Horseclam,76D,2018,18,7,1,10,*,,
Geoduck and Horseclam,76D,2018,18,Total,1,10,*,,
Geoduck and Horseclam,76D,2018,19,5,1,38,*,,
Geoduck and Horseclam,76D,2018,19,Total,1,38,*,,
Geoduck and Horseclam,76D,2019,2,3,3,257,1464,,
Geoduck and Horseclam,76D,2019,2,6,2,42,*,,
Geoduck and Horseclam,76D,2019,2,7,3,79,587,,
Geoduck and Horseclam,76D,2019,2,8,3,130,972,,
Geoduck and Horseclam,76D,2019,2,11,2,31,*,,
Geoduck and Horseclam,76D,2019,2,12,2,29,*,,
Geoduck and Horseclam,76D,2019,2,13,1,40,*,,
Geoduck and Horseclam,76D,2019,2,17,2,106,*,,
Geoduck and Horseclam,76D,2019,2,Total,3,714,4766,,
Geoduck and Horseclam,76D,2019,6,11,1,24,*,,
Geoduck and Horseclam,76D,2019,6,18,1,12,*,,
Geoduck and Horseclam,76D,2019,6,Total,1,36,*,,
Geoduck and Horseclam,76D,2019,7,3,1,8,*,,
Geoduck and Horseclam,76D,2019,7,18,1,31,*,,
Geoduck and Horseclam,76D,2019,7,19,1,11,*,,
Geoduck and Horseclam,76D,2019,7,23,1,8,*,,
Geoduck and Horseclam,76D,2019,7,25,1,11,*,,
Geoduck and Horseclam,76D,2019,7,27,2,34,*,,
Geoduck and Horseclam,76D,2019,7,Total,3,103,335,,
Geoduck and Horseclam,76D,2019,8,2,1,7,*,,
Geoduck and Horseclam,76D,2019,8,Total,1,7,*,,
Geoduck and Horseclam,76D,2019,12,16,1,14,*,,
Geoduck and Horseclam,76D,2019,12,Total,1,14,*,,
Geoduck and Horseclam,76D,2019,14,10,1,15,*,,
Geoduck and Horseclam,76D,2019,14,Total,1,15,*,,
Geoduck and Horseclam,76D,2019,16,2,1,10,*,,
Geoduck and Horseclam,76D,2019,16,Total,1,10,*,,
Geoduck and Horseclam,76D,2019,17,5,1,27,*,,
Geoduck and Horseclam,76D,2019,17,10,1,14,*,,
Geoduck and Horseclam,76D,2019,17,16,1,53,*,,
Geoduck and Horseclam,76D,2019,17,Total,1,94,*,,
Geoduck and Horseclam,76D,2019,19,5,1,15,*,,
Geoduck and Horseclam,76D,2019,19,Total,1,15,*,,
Geoduck and Horseclam,76D,2020,6,13,1,11,*,,
Geoduck and Horseclam,76D,2020,6,Total,1,11,*,,
Geoduck and Horseclam,76D,2020,7,28,1,22,*,,
Geoduck and Horseclam,76D,2020,7,Total,1,22,*,,
Geoduck and Horseclam,76D,2020,12,6,1,77,*,,
Geoduck and Horseclam,76D,2020,12,8,1,56,*,,
Geoduck and Horseclam,76D,2020,12,16,1,5,*,,
Geoduck and Horseclam,76D,2020,12,Total,1,138,*,,
Geoduck and Horseclam,76D,2020,14,1,1,13,*,,
Geoduck and Horseclam,76D,2020,14,4,1,41,*,,
Geoduck and Horseclam,76D,2020,14,5,2,287,*,,
Geoduck and Horseclam,76D,2020,14,Total,2,341,*,,
Geoduck and Horseclam,76D,2020,16,19,1,17,*,,
Geoduck and Horseclam,76D,2020,16,21,2,52,*,,
Geoduck and Horseclam,76D,2020,16,Total,2,69,*,,
Geoduck and Horseclam,76D,2020,106,2,1,20,*,,
Geoduck and Horseclam,76D,2020,106,Total,1,20,*,,
Geoduck and Horseclam,76D,2021,2,6,1,65,*,,
Geoduck and Horseclam,76D,2021,2,7,1,21,*,,
Geoduck and Horseclam,76D,2021,2,8,1,115,*,,
Geoduck and Horseclam,76D,2021,2,Total,1,201,*,,
Geoduck and Horseclam,76D,2021,4,2,3,33,242,,
Geoduck and Horseclam,76D,2021,4,13,4,79,480,,
Geoduck and Horseclam,76D,2021,4,Total,5,112,722,,
Geoduck and Horseclam,76D,2021,15,3,1,8,*,,
Geoduck and Horseclam,76D,2021,15,Total,1,8,*,,
Geoduck and Horseclam,76D,2021,16,21,2,29,*,,
Geoduck and Horseclam,76D,2021,16,Total,2,29,*,,
Geoduck and Horseclam,76D,2022,2,12,1,26,*,,
Geoduck and Horseclam,76D,2022,2,14,1,5,*,,
Geoduck and Horseclam,76D,2022,2,15,1,10,*,,
Geoduck and Horseclam,76D,2022,2,17,1,29,*,,
Geoduck and Horseclam,76D,2022,2,19,1,40,*,,
Geoduck and Horseclam,76D,2022,2,Total,2,110,*,,
Geoduck and Horseclam,76D,2022,7,3,1,6,*,,
Geoduck and Horseclam,76D,2022,7,9,1,35,*,,
Geoduck and Horseclam,76D,2022,7,18,1,9,*,,
Geoduck and Horseclam,76D,2022,7,25,1,14,*,,
Geoduck and Horseclam,76D,2022,7,Total,1,64,*,,
Geoduck and Horseclam,76D,2022,24,6,2,165,*,,
Geoduck and Horseclam,76D,2022,24,Total,2,165,*,,
Geoduck and Horseclam,76D,2023,4,1,1,6,*,,
Geoduck and Horseclam,76D,2023,4,2,3,142,760,,
Geoduck and Horseclam,76D,2023,4,4,3,258,1457,,
Geoduck and Horseclam,76D,2023,4,13,3,57,**,,
Geoduck and Horseclam,76D,2023,4,Total,4,463,2541,,
Geoduck and Horseclam,76D,2023,5,17,2,35,*,,
Geoduck and Horseclam,76D,2023,5,Total,2,35,*,,
Geoduck and Horseclam,76D,2023,6,9,2,132,*,,
Geoduck and Horseclam,76D,2023,6,10,2,16,*,,
Geoduck and Horseclam,76D,2023,6,11,2,54,*,,
Geoduck and Horseclam,76D,2023,6,13,4,532,2580,,
Geoduck and Horseclam,76D,2023,6,14,1,25,*,,
Geoduck and Horseclam,76D,2023,6,Total,4,759,3571,,
Geoduck and Horseclam,76D,2023,14,3,1,28,*,,
Geoduck and Horseclam,76D,2023,14,5,2,632,*,,
Geoduck and Horseclam,76D,2023,14,8,2,132,*,,
Geoduck and Horseclam,76D,2023,14,Total,2,792,*,,
Geoduck and Horseclam,76D,2023,16,19,1,12,*,,
Geoduck and Horseclam,76D,2023,16,20,1,16,*,,
Geoduck and Horseclam,76D,2023,16,21,2,312,*,,
Geoduck and Horseclam,76D,2023,16,Total,2,340,*,,
Geoduck and Horseclam,76D,2023,17,5,1,81,*,,
Geoduck and Horseclam,76D,2023,17,Total,1,81,*,,
Geoduck and Horseclam,76D,2023,19,5,1,13,*,,
Geoduck and Horseclam,76D,2023,19,Total,1,13,*,,
Geoduck and Horseclam,76D,2023,24,6,1,40,*,,
Geoduck and Horseclam,76D,2023,24,Total,1,40,*,,
Geoduck and Horseclam,76D,2023,106,2,4,291,1067,,
Geoduck and Horseclam,76D,2023,106,Total,4,291,1067,,
Geoduck and Horseclam,76D,2024,2,3,3,510,1831,,
Geoduck and Horseclam,76D,2024,2,6,1,41,*,,
Geoduck and Horseclam,76D,2024,2,7,2,273,*,,
Geoduck and Horseclam,76D,2024,2,8,2,212,*,,
Geoduck and Horseclam,76D,2024,2,9,1,21,*,,
Geoduck and Horseclam,76D,2024,2,11,3,259,1038,,
Geoduck and Horseclam,76D,2024,2,12,2,172,*,,
Geoduck and Horseclam,76D,2024,2,49,1,21,*,,
Geoduck and Horseclam,76D,2024,2,50,2,68,*,,
Geoduck and Horseclam,76D,2024,2,53,1,24,*,,
Geoduck and Horseclam,76D,2024,2,87,2,44,*,,
Geoduck and Horseclam,76D,2024,2,Total,6,1645,6556,,
Geoduck and Horseclam,76D,2024,4,2,1,18,*,,
Geoduck and Horseclam,76D,2024,4,9,1,12,*,,
Geoduck and Horseclam,76D,2024,4,13,1,58,*,,
Geoduck and Horseclam,76D,2024,4,Total,2,88,*,,
Geoduck and Horseclam,76D,2024,5,20,1,10,*,,
Geoduck and Horseclam,76D,2024,5,Total,1,10,*,,
Geoduck and Horseclam,76D,2024,13,15,1,32,*,,
Geoduck and Horseclam,76D,2024,13,Total,1,32,*,,
Geoduck and Horseclam,76D,2024,14,7,1,12,*,,
